"kpi","lokasi","Area","Realisasi","insert_at","bulan"
"FFM-ENT-PS to PI Ratio HSI","reg4","PURWOKERTO",56.25,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","SEMARANG",52.02,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","SOLO",71.43,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg4","YOGYAKARTA",65.42,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","DENPASAR",36.36,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","JEMBER",76.54,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","KEDIRI",72.81,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","MADIUN",58.14,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","MADURA",49.14,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","MALANG",61.62,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","NTB",42.17,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","NTT",39.02,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","PASURUAN",88.89,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","SIDOARJO",56.25,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","SINGARAJA",36.05,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","SURABAYA SELATAN",71.83,"2025-09-17",9
"FFM-ENT-PS to PI Ratio HSI","reg5","SURABAYA UTARA",64.42,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 01",57.69,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 02",82.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 03",92.11,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 04",65.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 05",65.57,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 06",45.10,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg","REGIONAL 07",23.17,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","KUDUS",66.67,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","MAGELANG",66.67,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","PEKALONGAN",83.33,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","PURWOKERTO",100.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","SEMARANG",71.43,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","SOLO",20.00,"2025-09-17",9
"FFM-ENT-TTR Fulfillment Guarantee 3 jam HSI","reg4","YOGYAKARTA",66.67,"2025-09-17",9
