kpi,lokasi,area,nilai
ASR-ENT-MTTR DWDM,D_YOGYAKARTA,tif,-
ASR-ENT-MTTR DWDM,TERRITORY 01,tif,-
ASR-ENT-MTTR DWDM,TERRITORY 02,tif,2.75
ASR-ENT-MTTR DWDM,TERRITORY 03,tif,3.98
ASR-ENT-MTTR DWDM,TERRITORY 04,tif,-
ASR-ENT-MTTR SIP TRUNK,D_BALI,tif,10.85
ASR-ENT-MTTR SIP TRUNK,D_MALANG,tif,-
ASR-ENT-MTTR SIP TRUNK,D_NUSRA,tif,-
ASR-ENT-MTTR SIP TRUNK,D_SEMARANG,tif,3.68
ASR-ENT-MTTR SIP TRUNK,D_SIDOARJO,tif,-
ASR-ENT-MTTR SIP TRUNK,D_SOLO,tif,-
ASR-ENT-MTTR SIP TRUNK,D_SURAMADU,tif,14.91
ASR-ENT-MTTR SIP TRUNK,D_YOGYAKARTA,tif,-
ASR-ENT-MTTR SIP TRUNK,TERRITORY 01,tif,7.93
ASR-ENT-MTTR SIP TRUNK,TERRITORY 02,tif,4.9
ASR-ENT-MTTR SIP TRUNK,TERRITORY 03,tif,8.79
ASR-ENT-MTTR SIP TRUNK,TERRITORY 04,tif,-
ONM-ENT-WiFi Revitalization,D_BALI,tif,90.91
ONM-ENT-WiFi Revitalization,D_MALANG,tif,-
ONM-ENT-WiFi Revitalization,D_NUSRA,tif,62.5
ONM-ENT-WiFi Revitalization,D_SEMARANG,tif,-
ONM-ENT-WiFi Revitalization,D_SIDOARJO,tif,100
ONM-ENT-WiFi Revitalization,D_SOLO,tif,100
ONM-ENT-WiFi Revitalization,D_SURAMADU,tif,100
ONM-ENT-WiFi Revitalization,D_YOGYAKARTA,tif,100
ONM-ENT-WiFi Revitalization,TERRITORY 01,tif,70.97
ONM-ENT-WiFi Revitalization,TERRITORY 02,tif,71.43
ONM-ENT-WiFi Revitalization,TERRITORY 03,tif,89.58
ONM-ENT-WiFi Revitalization,TERRITORY 04,tif,88.89
FFM-ENT-Fulfillment Guarantee Non HSI,D_BALI,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_MALANG,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_NUSRA,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_SEMARANG,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_SIDOARJO,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_SOLO,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_SURAMADU,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,D_YOGYAKARTA,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,TERRITORY 01,tif,96.26000213623047
FFM-ENT-Fulfillment Guarantee Non HSI,TERRITORY 02,tif,97.73999786376953
FFM-ENT-Fulfillment Guarantee Non HSI,TERRITORY 03,tif,100
FFM-ENT-Fulfillment Guarantee Non HSI,TERRITORY 04,tif,97.58000183105469
FFM-ENT-TTD Compliance Non HSI,D_BALI,tif,100
FFM-ENT-TTD Compliance Non HSI,D_MALANG,tif,100
FFM-ENT-TTD Compliance Non HSI,D_NUSRA,tif,100
FFM-ENT-TTD Compliance Non HSI,D_SEMARANG,tif,100
FFM-ENT-TTD Compliance Non HSI,D_SIDOARJO,tif,100
FFM-ENT-TTD Compliance Non HSI,D_SOLO,tif,100
FFM-ENT-TTD Compliance Non HSI,D_SURAMADU,tif,100
